feature,importance
Total Deal Equity,0.52398115
vineeta_industry_fit,0.045473825
Number of Presenters,0.021307537
industry_pitch_count,0.017191138
Has Patents,0.015511584
Female Presenters,0.014712432
SKUs,0.0141616
state_success_rate,0.013824358
Aman Present,0.01338653
burn_rate,0.012882295
Ritesh Present,0.011386086
Started in,0.010639948
Monthly Sales,0.010270563
state_pitch_density,0.0102679
Peyush Present,0.009482075
Net Margin,0.009386449
industry_median_valuation,0.009227154
EBITDA,0.009211031
runway_months,0.008735123
peyush_industry_fit,0.008568814
profit_margin_gap,0.008564806
Yearly Revenue,0.008352808
gender_diversity_score,0.008201465
female_ratio,0.008191642
ask_percentage,0.008140837
industry_avg_equity,0.008013229
profitability_score,0.007866114
revenue_per_sku,0.007834223
male_ratio,0.0076226895
Couple Presenters,0.0073573845
Cash Burn,0.0072210506
Vineeta Present,0.0072157555
ritesh_industry_fit,0.0071676597
Anupam Present,0.0070996922
Namita Present,0.006945973
monthly_to_yearly_ratio,0.00690264
ebitda_margin,0.006808074
Amit Present,0.006703245
namita_industry_fit,0.006188813
Gross Margin,0.006184289
is_metro,0.0060180374
valuation_to_ask_ratio,0.005974789
financial_health_score,0.0058401884
industry_avg_success_rate,0.005796444
valuation_reasonableness,0.0057785474
Valuation Requested,0.005731587
Original Ask Amount,0.005490576
Guest Present,0.005185823
revenue_multiple,0.004007631
aman_industry_fit,0.003969697
Original Offered Equity,0.0035249188
anupam_industry_fit,0.002269188
Male Presenters,0.0021332263
amit_industry_fit,8.935783e-05
innovation_score,0.0
Total Deal Amount,0.0
is_high_revenue,0.0
is_bootstrapped,0.0
Bootstrapped,0.0
industry_competition_index,0.0
Transgender Presenters,0.0
sku_count,0.0
is_solo_founder,0.0
has_patent,0.0
deal_size_category,0.0
Advisory Shares Equity,0.0
Royalty Recouped Amount,0.0
Royalty Percentage,0.0
is_pre_revenue,0.0
revenue_category,0.0
Number of Sharks in Deal,0.0
expected_equity_dilution,0.0
is_reasonable_valuation,0.0
has_female_founder,0.0
deal_complexity_score,0.0
team_size,0.0
Deal Valuation,0.0
Debt Interest,0.0
Total Deal Debt,0.0
is_outlier_valuation,0.0
is_couple,0.0
geographic_diversity_score,0.0
