Industry,Pitches,Market Share,Offer Rate,Avg Revenue,Avg Deal,Avg Equity,Rev Multiple,Patent Rate
Food and Beverage,154,21.9%,70.1%,₹180L,₹72L,8.5%,12.1x,2.6%
Beauty/Fashion,141,20.1%,68.1%,₹380L,₹91L,8.8%,8.7x,2.8%
Technology/Software,67,9.5%,71.6%,₹120L,₹90L,6.9%,29.2x,11.9%
Medical/Health,64,9.1%,75.0%,₹110L,₹85L,5.2%,36.0x,26.6%
Manufacturing,52,7.4%,59.6%,₹242L,₹63L,7.2%,13.2x,15.4%
Lifestyle/Home,46,6.6%,56.5%,₹330L,₹80L,5.4%,11.6x,10.9%
Business Services,42,6.0%,52.4%,₹255L,₹76L,4.3%,11.7x,2.4%
Children/Education,29,4.1%,69.0%,₹223L,₹76L,7.1%,11.7x,13.8%
Vehicles/Electrical Vehicles,22,3.1%,54.5%,₹2L,₹59L,8.9%,1000.0x,9.1%
Fitness/Sports/Outdoors,20,2.8%,80.0%,₹270L,₹74L,5.1%,7.4x,15.0%
