,Namita,Aman,Anupam,Peyush,Vineeta,Ritesh,Amit
Food and Beverage,15.702479338842975,21.678321678321677,24.074074074074073,16.50485436893204,31.868131868131865,18.867924528301888,27.77777777777778
Beauty/Fashion,21.487603305785125,21.678321678321677,24.074074074074073,13.592233009708737,23.076923076923077,18.867924528301888,25.0
Technology/Software,8.264462809917356,11.188811188811188,6.481481481481481,13.592233009708737,4.395604395604396,11.320754716981133,8.333333333333332
Medical/Health,19.00826446280992,12.587412587412588,12.962962962962962,15.53398058252427,7.6923076923076925,9.433962264150944,11.11111111111111
Manufacturing,7.43801652892562,6.993006993006993,7.4074074074074066,11.650485436893204,4.395604395604396,3.7735849056603774,2.7777777777777777
Lifestyle/Home,5.785123966942149,4.195804195804196,4.62962962962963,3.8834951456310676,7.6923076923076925,3.7735849056603774,5.555555555555555
Business Services,5.785123966942149,5.594405594405594,1.8518518518518516,8.737864077669903,2.197802197802198,11.320754716981133,5.555555555555555
Children/Education,6.6115702479338845,4.195804195804196,5.555555555555555,3.8834951456310676,4.395604395604396,7.547169811320755,0.0
Vehicles/Electrical Vehicles,0.0,2.097902097902098,1.8518518518518516,0.9708737864077669,3.296703296703297,3.7735849056603774,2.7777777777777777
Fitness/Sports/Outdoors,4.132231404958678,2.797202797202797,1.8518518518518516,3.8834951456310676,5.4945054945054945,5.660377358490567,0.0
Green/CleanTech,1.6528925619834711,2.797202797202797,3.7037037037037033,1.9417475728155338,1.098901098901099,3.7735849056603774,5.555555555555555
Animal/Pets,1.6528925619834711,0.6993006993006993,2.7777777777777777,0.9708737864077669,0.0,0.0,0.0
Agriculture,1.6528925619834711,0.6993006993006993,0.0,2.912621359223301,0.0,1.8867924528301887,0.0
Liquor/Alcohol,0.0,0.0,0.0,0.0,2.197802197802198,0.0,0.0
Electronics,0.0,0.6993006993006993,1.8518518518518516,0.0,2.197802197802198,0.0,2.7777777777777777
