Pitchers State,Total_Pitches,Offer_Rate,Avg_Deal,Avg_Equity,Median_Valuation,Median_Revenue
Maharashtra,163,0.66,37.79,4.66,2500.0,180.0
Delhi,94,0.66,45.32,4.33,3550.0,255.0
Karnataka,70,0.66,42.99,2.48,4000.0,180.0
Gujarat,57,0.74,37.56,4.6,2500.0,200.0
Haryana,46,0.7,61.33,4.36,3000.0,285.0
Uttar Pradesh,34,0.65,34.94,5.17,3750.0,232.5
Rajasthan,32,0.59,33.12,2.9,3300.0,200.0
Telangana,22,0.73,54.23,4.25,4000.0,180.0
West Bengal,18,0.61,46.67,5.54,1875.0,180.0
Punjab,17,0.41,32.65,3.54,3000.0,242.0
Madhya Pradesh,15,0.73,38.67,3.99,2500.0,330.0
Tamil Nadu,12,0.67,49.58,2.5,4000.0,181.0
Bihar,8,0.5,20.82,2.83,669.64,82.5
Goa,6,0.5,48.33,7.67,2666.67,239.0
Jammu & Kashmir,5,0.8,39.0,19.3,2000.0,180.0
Kerala,4,0.75,33.75,5.62,1500.0,90.0
Assam,4,1.0,96.25,4.88,3172.69,517.0
Jharkhand,3,1.0,93.33,5.22,3000.0,150.0
Uttarakhand,3,1.0,120.0,7.0,5000.0,120.0
"Delhi,Maharashtra",3,0.67,180.0,23.67,4000.0,180.0
Himachal Pradesh,2,1.0,87.5,4.0,12500.0,477.5
"Uttar Pradesh,Rajasthan",2,1.0,118.0,3.12,15525.37,115.0
Chhattisgarh,2,1.0,75.0,5.62,10500.0,180.0
"Gujarat,Maharashtra",2,1.0,0.0,0.0,2916.67,182.0
"Tamil Nadu,Uttar Pradesh",1,1.0,60.0,2.0,5500.0,120.0
"Punjab,Gujarat",1,0.0,0.0,0.0,4000.0,46.0
Meghalaya,1,1.0,20.0,12.0,166.67,18.0
Odisha,1,1.0,80.0,1.0,8000.0,128.0
"Uttarakhand,Uttar Pradesh",1,0.0,0.0,0.0,6024.1,255.0
"Punjab,Uttar Pradesh",1,1.0,150.0,2.0,15000.0,870.0
"Punjab,Kerala",1,1.0,60.0,4.0,6000.0,250.0
"Maharashtra,Uttar Pradesh,Haryana",1,1.0,100.0,10.0,2500.0,60.0
"Punjab,West Bengal",1,1.0,200.0,20.0,4000.0,1180.0
"Telangana,Maharashtra",1,1.0,75.0,7.5,1875.0,180.0
"Telangana,Karnataka",1,1.0,20.0,0.67,4000.0,90.0
Arunachal Pradesh,1,1.0,50.0,5.0,3000.0,671.5
"Karnataka,Telangana",1,0.0,0.0,0.0,7142.86,255.0
"Maharashtra,Delhi",1,0.0,0.0,0.0,2500.0,320.0
"Kerala,Maharashtra",1,1.0,75.0,10.0,3000.0,100.0
"Delhi,Bihar,Kerala",1,1.0,100.0,1.5,10000.0,640.0
"Delhi,Jammu & Kashmir",1,0.0,0.0,0.0,1800.0,320.0
"Delhi,Karnataka",1,1.0,60.0,1.0,8593.75,840.0
"Delhi,Madhya Pradesh",1,0.0,0.0,0.0,1200.0,223.0
"Delhi,Punjab",1,1.0,0.0,0.0,40000.0,25.0
"Gujarat,Uttar Pradesh",1,0.0,0.0,0.0,166.67,120.0
"Haryana,Gujarat",1,1.0,60.0,6.0,6000.0,135.0
"Haryana,Madhya Pradesh",1,1.0,150.0,0.6,30000.0,65.0
"Haryana,Maharashtra",1,1.0,80.0,2.5,8000.0,330.0
"Haryana,West Bengal",1,1.0,50.0,3.0,7500.0,1000.0
"Jharkhand,Chhattisgarh",1,1.0,20.0,1.0,5000.0,110.0
"Karnataka,Andhra Pradesh",1,1.0,50.0,10.0,5000.0,13.0
"Karnataka,Assam,Jharkhand",1,0.0,0.0,0.0,1800.0,380.0
"Arunachal Pradesh,Uttarakhand",1,0.0,0.0,0.0,1000.0,0.0
"Karnataka,Uttar Pradesh",1,0.0,0.0,0.0,1500.0,180.0
"Karnataka,West Bengal",1,1.0,40.0,3.0,3250.0,180.0
"Kerala,Andhra Pradesh",1,0.0,0.0,0.0,4000.0,110.0
"West Bengal,Uttar Pradesh",1,1.0,60.0,3.0,3000.0,1400.0
