,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Valuation Requested,Total Deal Amount,Total Deal Equity,Received Offer
Yearly Revenue,1.0,0.9287541374343186,-0.13517523045271412,-0.1536315134391133,-0.005993110671857174,0.48310165064773103,0.25305185199661556,-0.198733108659823,0.1146997719626831
Monthly Sales,0.9287541374343186,1.0,-0.17799911083884384,-0.06407751631765485,-0.0038551929476809076,0.33859744579039924,0.22701895555347695,-0.15360802055915238,0.08234065722912136
Gross Margin,-0.13517523045271412,-0.17799911083884384,1.0,0.4154730183241791,-0.13007056726460609,-0.11545317306189778,-0.06117409350339465,0.046440281028569876,-0.014798465329523844
Net Margin,-0.1536315134391133,-0.06407751631765485,0.4154730183241791,1.0,-0.22189041375677784,-0.23272526707243435,-0.016542899835805622,0.474075601502978,-0.033451145446109415
Original Ask Amount,-0.005993110671857174,-0.0038551929476809076,-0.13007056726460609,-0.22189041375677784,1.0,0.5576420134699979,0.4153929372549914,-0.21573395779330876,-0.05929141930298451
Valuation Requested,0.48310165064773103,0.33859744579039924,-0.11545317306189778,-0.23272526707243435,0.5576420134699979,1.0,0.4128035452012349,-0.34131696324862654,0.041343171444962794
Total Deal Amount,0.25305185199661556,0.22701895555347695,-0.06117409350339465,-0.016542899835805622,0.4153929372549914,0.4128035452012349,1.0,0.019603689853405652,
Total Deal Equity,-0.198733108659823,-0.15360802055915238,0.046440281028569876,0.474075601502978,-0.21573395779330876,-0.34131696324862654,0.019603689853405652,1.0,
Received Offer,0.1146997719626831,0.08234065722912136,-0.014798465329523844,-0.033451145446109415,-0.05929141930298451,0.041343171444962794,,,1.0
