Industry,Delhi,Gujarat,Haryana,Karnataka,Maharashtra,Punjab,Rajasthan,Telangana,Uttar Pradesh,West Bengal
Beauty/Fashion,22,14,15,9,34,2,7,1,6,4
Business Services,5,2,4,5,6,1,2,3,6,1
Children/Education,1,4,3,4,7,1,3,0,2,0
Fitness/Sports/Outdoors,3,1,1,5,5,2,0,0,0,0
Food and Beverage,22,13,8,17,42,1,7,4,4,8
Lifestyle/Home,6,5,2,7,6,3,3,2,4,0
Manufacturing,6,6,2,5,12,2,3,3,4,2
Medical/Health,6,3,3,8,11,3,3,3,3,1
Technology/Software,11,2,3,4,18,2,1,2,3,1
Vehicles/Electrical Vehicles,2,4,2,2,6,0,0,3,0,0
